Tempolar polar
Superior temporal cortex
Amygdala
Orbitoinferior prefrontal cortex
Anterior insula
Orbitomedial prefrontal cortex
Central temporal cortex
Orbitolateral prefrontal cortex
Inferior temporal
Parahippocampal cortex
Gustatory cortex
Ventrolateral premotor cortex
Anterior visual area (ventral)
Posterior insula
Prefrontal polar cortex
Hippocampus
Subgenual cingulate cortex
Ventrolateral prefrontal cortex
Visual area 2
Medial prefrontal cortex
Ventral temporal cortex
Anterior visual area (dorsal)
Visual area 1
Centrolateral prefrontal cortex
Secondary auditory cortex
Retrosplenial cingulate cortex
Posterior cingulate cortex
Anterior cingulate cortex
Secondary somatosensory cortex
Primary somatosensory cortex
Primary auditory cortex
Primary motor cortex
Inferior parietal cortex
Medial parietal cortex
Dorsomedial prefrontal cortex
Intraparietal cortex
Superior parietal cortex
Frontal eye field
Dorsolateral prefrontal cortex
Medial premotor cortex
Dorsolateral premotor cortex
